"";"BD";"mice.cart";"mice.rf";"CC"
"(Intercept)";3,014;3,142;0,235;25,088
"age";-0,001;-0,003;-0,006;-0,023
"educationprof.course";-0,05;0,24;0,199;-1,58
"educationothers";0,003;0,651;0,644;1,017
"maritalsingle";0,024;-0,562;-0,633;-6,143
"maritalothers";-0,048;0,468;0,421;0,324
"duration";0;0;0;0,001
"campaign";-0,025;-0,011;-0,026;-0,222
"cons.price.idx";-0,033;-0,036;-0,004;-0,282
"cons.conf.idx";0,002;0,004;-0,001;-0,02
